car_age,mileage,engine_size,owners,fuel_type,transmission,accident_history,city_tier,price
9,132048,1.8,1,electric,manual,no,tier2,14159.89
10,136438,1.2,0,diesel,manual,yes,tier2,5015.78
0,11336,0.9,4,hybrid,automatic,no,tier3,26306.42
13,162310,0.9,0,diesel,manual,no,tier2,3873.46
12,138016,1.5,1,diesel,manual,no,tier3,6032.68
1,23422,2.8,0,diesel,automatic,no,tier3,30434.18
2,43403,0.9,0,electric,automatic,no,tier1,28515.74
10,131905,1.1,0,petrol,automatic,no,tier1,10655.74
15,195203,2.5,0,hybrid,automatic,no,tier2,4109.38
11,138104,2.0,0,petrol,automatic,yes,tier1,6958.17
4,54386,2.5,0,electric,manual,no,tier1,28531.64
14,161788,2.6,1,petrol,manual,yes,tier3,1200.0
15,192221,2.4,0,diesel,automatic,no,tier2,2014.47
14,183663,0.9,0,petrol,manual,no,tier1,1200.0
7,99339,1.8,0,petrol,manual,no,tier2,13431.1
7,104896,2.1,1,petrol,automatic,no,tier1,16455.18
14,179439,1.3,0,petrol,manual,no,tier3,1200.0
1,32338,2.3,0,diesel,automatic,no,tier2,29717.57
1,24320,1.6,2,diesel,manual,no,tier2,26826.21
12,157346,1.5,1,electric,manual,no,tier2,10065.26
10,123861,3.0,0,petrol,manual,no,tier1,15197.43
5,80203,1.2,1,petrol,manual,no,tier1,17927.53
0,10288,1.9,1,electric,automatic,no,tier1,35417.09
8,95448,1.5,2,diesel,manual,no,tier1,12582.35
13,176865,2.1,0,petrol,automatic,no,tier3,3912.05
13,161199,1.9,1,electric,automatic,no,tier2,8804.05
5,63775,1.3,1,petrol,automatic,no,tier3,18505.47
8,106585,2.2,2,petrol,manual,no,tier1,14157.75
15,186728,,0,diesel,automatic,no,tier1,7613.28
3,46339,1.1,0,electric,manual,yes,tier3,20650.43
15,187986,2.0,2,electric,manual,no,tier2,2257.71
3,48879,1.1,1,petrol,automatic,no,tier1,25441.95
15,188074,2.2,0,petrol,automatic,no,tier3,3562.95
14,167522,1.6,1,petrol,automatic,no,tier1,4564.01
8,105309,2.0,1,electric,manual,no,tier2,17180.95
9,107129,1.4,2,petrol,automatic,no,tier2,10618.67
0,500,1.5,0,electric,automatic,no,tier1,34552.12
14,161723,0.9,0,diesel,manual,no,tier3,1200.0
6,88432,1.3,1,electric,automatic,no,tier3,21813.44
3,15663,1.5,1,hybrid,manual,no,tier1,26021.13
0,10496,2.6,0,petrol,automatic,no,tier1,30162.63
13,167436,1.3,2,petrol,manual,no,tier1,2794.31
3,42561,2.2,1,diesel,automatic,yes,tier1,21931.27
7,88178,1.9,0,diesel,automatic,no,tier3,18697.59
3,41416,2.5,3,petrol,manual,no,tier1,22760.44
14,176798,2.4,0,petrol,manual,no,tier2,4494.25
13,166066,2.5,0,petrol,manual,no,tier3,5324.43
11,129589,2.2,1,petrol,automatic,no,tier1,12500.27
8,109446,2.5,0,diesel,automatic,no,tier1,17282.89
15,194266,2.0,0,petrol,manual,no,tier3,1200.0
12,163936,2.5,0,diesel,automatic,no,tier3,5971.63
4,67820,3.2,1,petrol,automatic,yes,tier2,19167.92
0,7528,3.3,2,petrol,automatic,no,tier1,33922.44
10,123682,1.4,2,diesel,automatic,no,tier2,8984.1
5,74402,1.0,2,diesel,automatic,no,tier1,16978.16
2,38014,1.3,1,petrol,manual,no,tier1,26148.47
11,128122,1.6,1,petrol,manual,yes,tier2,2882.07
4,51657,1.8,2,diesel,automatic,yes,tier3,14877.28
3,67701,1.9,2,petrol,automatic,yes,tier1,18163.85
3,57166,0.9,0,electric,automatic,yes,tier3,21317.73
14,171512,3.0,0,petrol,automatic,no,tier3,3690.76
2,24603,2.7,0,petrol,automatic,no,tier2,32234.06
5,66576,1.7,1,petrol,automatic,no,tier1,20527.81
1,28716,0.9,1,petrol,automatic,no,tier1,26187.16
7,93289,2.0,0,petrol,automatic,no,tier3,18616.96
8,96920,1.5,1,petrol,automatic,no,tier1,15535.73
12,148880,1.7,2,hybrid,automatic,no,tier1,10182.82
15,185070,1.6,2,diesel,automatic,no,tier2,1200.0
4,57521,2.7,3,hybrid,automatic,no,tier1,25651.37
0,9114,2.2,1,petrol,manual,no,tier2,29987.54
15,215302,2.0,1,hybrid,manual,yes,tier1,1200.0
15,187878,2.3,3,petrol,automatic,no,tier1,2401.39
0,4852,3.0,1,petrol,automatic,yes,tier1,29631.95
7,96374,2.0,2,diesel,manual,no,tier2,13545.43
8,108071,1.8,1,hybrid,manual,yes,tier1,10059.11
1,28485,1.5,2,hybrid,manual,no,tier2,25951.89
6,55131,2.1,0,petrol,automatic,no,tier3,19089.03
0,8733,1.9,0,petrol,automatic,no,tier2,31171.03
14,165504,1.8,0,diesel,manual,no,tier1,7524.23
0,16730,2.0,1,diesel,automatic,no,tier2,31215.66
2,35153,0.9,0,diesel,manual,no,tier1,23613.5
3,34748,1.9,1,hybrid,manual,yes,tier1,21100.92
2,17400,2.2,1,petrol,automatic,no,tier1,26036.22
15,181930,2.4,1,petrol,manual,no,tier3,1200.0
14,162637,2.3,1,electric,automatic,yes,tier1,4438.06
5,59470,2.0,1,petrol,manual,no,tier1,22621.99
13,164490,1.8,0,petrol,automatic,no,tier2,4236.64
10,111653,2.3,3,petrol,automatic,no,tier3,10372.34
7,87167,1.9,1,diesel,automatic,yes,tier3,11005.21
14,156964,1.2,1,hybrid,manual,no,tier3,3331.52
11,146713,2.0,0,petrol,manual,yes,tier2,2368.29
15,180690,1.8,1,petrol,automatic,no,tier2,1200.0
11,139808,2.2,0,electric,manual,yes,tier3,9534.55
7,88258,1.6,1,petrol,manual,no,tier1,15840.39
1,27064,1.9,1,petrol,automatic,no,tier2,29970.45
7,90452,1.5,0,hybrid,manual,yes,tier3,13604.49
7,76178,0.9,1,diesel,manual,yes,tier2,10193.51
7,89821,1.4,1,petrol,manual,no,tier1,15435.63
13,159274,2.3,0,petrol,automatic,yes,tier1,1200.0
13,163788,2.0,1,petrol,automatic,no,tier1,6794.6
4,64758,0.9,1,diesel,manual,no,tier2,17781.21
13,167405,1.1,1,diesel,automatic,yes,tier3,1200.0
2,18823,2.3,3,diesel,automatic,no,tier2,28806.66
6,82681,1.9,0,petrol,automatic,no,tier1,19932.11
5,62557,2.8,1,petrol,manual,no,tier1,19935.45
2,13167,1.6,1,electric,automatic,no,tier3,27490.6
2,49060,0.9,1,electric,manual,no,tier3,25830.98
8,98453,2.2,1,petrol,automatic,yes,tier3,10569.17
15,185454,0.9,1,petrol,automatic,yes,tier2,1200.0
12,147016,1.0,1,petrol,automatic,no,tier2,6928.34
14,185706,1.8,0,diesel,automatic,no,tier1,6247.9
8,93243,1.6,1,diesel,manual,no,tier3,11910.47
6,71144,1.4,2,diesel,automatic,no,tier1,18719.32
14,173195,1.5,0,diesel,manual,no,tier1,5702.3
7,86236,0.9,1,petrol,automatic,yes,tier3,6888.6
7,104630,1.9,1,hybrid,manual,yes,tier3,11401.14
8,95610,2.1,1,petrol,manual,no,tier1,17346.29
11,135896,1.5,1,petrol,manual,no,tier2,9835.81
4,65251,1.6,0,diesel,automatic,no,tier1,25869.02
5,60560,0.9,1,petrol,automatic,yes,tier2,13242.7
10,136861,1.8,0,petrol,manual,yes,tier3,2352.63
8,107903,1.7,1,electric,manual,no,tier3,17731.48
0,6668,1.5,1,petrol,manual,no,tier1,29768.25
9,122253,3.0,2,petrol,automatic,no,tier2,14987.57
2,29047,2.0,0,petrol,automatic,no,tier1,26853.22
11,138785,1.7,2,petrol,manual,no,tier1,9266.9
15,189640,,1,diesel,automatic,yes,tier1,1200.0
14,165638,1.7,2,diesel,manual,no,tier2,4258.9
9,119165,2.1,2,petrol,manual,yes,tier1,8257.49
1,18424,1.7,0,diesel,automatic,no,tier2,29155.46
5,75620,0.9,1,petrol,automatic,yes,tier2,10764.29
7,90727,1.5,0,diesel,automatic,no,tier2,17670.08
4,48335,2.3,0,diesel,manual,no,tier2,22106.52
0,500,1.4,0,petrol,automatic,no,tier3,26738.43
10,142026,1.3,0,diesel,automatic,no,tier3,10633.22
7,102264,1.6,0,diesel,automatic,no,tier1,19532.99
3,54472,1.4,3,petrol,manual,no,tier3,18283.72
9,126251,1.9,1,petrol,manual,yes,tier3,6444.36
6,65490,1.9,1,hybrid,manual,yes,tier2,14426.72
12,157125,2.7,2,electric,automatic,yes,tier2,5447.55
8,92365,2.7,0,diesel,manual,no,tier1,17905.55
2,35848,2.5,0,electric,automatic,no,tier1,31548.04
0,13445,1.8,0,hybrid,manual,no,tier2,31699.17
6,81583,2.1,2,hybrid,manual,no,tier2,17771.29
7,81848,1.2,2,petrol,automatic,no,tier3,15919.59
15,201977,2.2,1,petrol,automatic,no,tier2,1200.0
0,923,1.8,0,hybrid,manual,yes,tier1,27497.22
3,54489,1.5,2,petrol,manual,no,tier3,18922.26
9,128052,2.8,3,diesel,manual,no,tier3,11406.19
0,20909,2.3,1,petrol,manual,no,tier1,31074.97
11,136670,2.1,3,petrol,manual,no,tier1,10380.54
7,87654,1.7,1,petrol,manual,no,tier2,14276.65
7,76457,1.5,0,diesel,manual,yes,tier2,14629.59
7,83066,2.6,1,hybrid,automatic,no,tier1,20744.87
8,105990,2.3,2,petrol,manual,no,tier1,14603.14
7,86388,1.9,1,diesel,automatic,no,tier2,17678.41
2,41962,1.0,2,diesel,automatic,no,tier3,22516.78
7,88184,2.5,3,diesel,manual,no,tier1,18301.33
5,60479,1.2,2,petrol,automatic,no,tier1,20683.2
4,61933,2.5,2,electric,manual,no,tier3,25520.2
13,171061,1.8,1,electric,automatic,yes,tier2,3944.88
4,50240,1.3,1,petrol,automatic,no,tier1,25873.73
13,164542,2.2,2,petrol,automatic,no,tier1,7207.73
0,10784,1.8,0,diesel,automatic,no,tier1,31870.33
1,11136,1.0,1,petrol,manual,no,tier1,24671.89
4,55164,1.8,1,diesel,manual,no,tier1,24011.6
5,76676,1.3,2,petrol,manual,no,tier2,17587.96
6,74676,1.7,1,diesel,manual,no,tier1,20731.68
12,153773,1.7,0,diesel,manual,no,tier3,6311.17
3,50346,1.6,1,diesel,manual,no,tier3,21063.17
6,79565,0.9,0,diesel,automatic,no,tier3,16949.71
8,89200,2.5,3,hybrid,manual,no,tier1,17845.8
9,120743,1.5,0,petrol,automatic,no,tier1,14764.46
3,56680,2.7,0,petrol,manual,no,tier1,25716.5
9,116534,2.4,2,petrol,manual,yes,tier1,9054.99
5,75817,1.7,4,petrol,automatic,no,tier2,18096.58
2,47211,1.9,0,hybrid,manual,no,tier3,26800.99
10,111078,1.2,1,petrol,automatic,no,tier3,10123.22
8,111061,2.1,1,petrol,manual,yes,tier2,5932.3
5,76361,2.6,1,petrol,automatic,no,tier3,20216.87
1,45643,2.0,0,diesel,automatic,no,tier2,29023.45
0,500,1.8,3,hybrid,automatic,no,tier1,31117.68
2,40866,1.5,0,diesel,manual,yes,tier1,23573.88
14,174541,1.5,2,petrol,automatic,no,tier1,3846.62
15,189580,1.4,1,petrol,automatic,no,tier2,1200.0
1,25025,2.8,1,petrol,manual,no,tier2,27698.05
7,93533,1.4,1,petrol,automatic,yes,tier1,12156.32
8,103936,1.0,2,hybrid,automatic,no,tier3,14430.38
1,25634,1.4,0,petrol,manual,no,tier1,29142.33
3,56396,2.3,0,petrol,manual,no,tier1,26201.0
12,154693,0.9,1,hybrid,manual,no,tier1,6899.41
0,13139,1.9,1,hybrid,automatic,no,tier3,27878.4
6,78502,2.4,1,diesel,automatic,no,tier3,19050.62
2,11682,0.9,1,diesel,automatic,no,tier2,23198.46
7,84164,2.2,0,diesel,automatic,yes,tier3,10557.45
9,103103,2.1,1,hybrid,manual,yes,tier1,9509.02
1,27268,2.0,3,petrol,manual,no,tier2,25031.25
1,38250,1.4,1,petrol,manual,yes,tier2,18880.6
5,58044,2.5,0,petrol,manual,no,tier1,23621.04
11,135478,1.8,1,petrol,manual,no,tier1,7935.6
1,24130,1.6,0,petrol,manual,yes,tier2,22706.51
4,42162,1.3,0,diesel,automatic,yes,tier2,17541.81
8,124444,1.3,1,diesel,automatic,no,tier1,13370.91
3,46199,1.9,0,diesel,manual,yes,tier2,16353.21
10,123889,2.0,1,petrol,automatic,no,tier1,10899.71
5,49082,1.7,0,hybrid,automatic,no,tier1,26031.87
2,41872,1.8,1,electric,automatic,no,tier2,26704.64
10,115292,0.9,1,diesel,manual,no,tier2,10492.17
3,49091,2.3,0,hybrid,manual,yes,tier1,23464.62
15,187600,2.2,0,diesel,automatic,no,tier3,1418.76
5,72713,2.0,0,diesel,manual,no,tier2,19728.3
5,70169,2.2,0,hybrid,automatic,no,tier1,24343.07
11,148630,0.9,2,petrol,automatic,no,tier1,7482.02
9,118074,1.7,3,diesel,manual,no,tier3,11791.81
13,163138,2.0,0,petrol,manual,no,tier1,6270.18
15,186514,1.2,2,petrol,manual,yes,tier1,1200.0
14,180529,1.7,0,diesel,automatic,yes,tier1,1200.0
2,41272,2.5,2,diesel,automatic,no,tier2,28419.67
2,17329,2.5,0,electric,automatic,no,tier1,33777.49
